,Sample,Cluster
321,TCGA-AR-A1AS-01,1
322,TCGA-AR-A1AT-01,8
323,TCGA-AR-A1AU-01,8
324,TCGA-AR-A1AV-01,8
325,TCGA-AR-A1AW-01,8
326,TCGA-AR-A1AX-01,8
327,TCGA-AR-A1AY-01,8
328,TCGA-AR-A24H-01,1
329,TCGA-AR-A24K-01,8
330,TCGA-AR-A24L-01,8
331,TCGA-AR-A24M-01,8
332,TCGA-AR-A24N-01,8
333,TCGA-AR-A24O-01,8
334,TCGA-AR-A24P-01,8
335,TCGA-AR-A24Q-01,8
336,TCGA-AR-A24R-01,1
337,TCGA-AR-A24S-01,8
338,TCGA-AR-A24T-01,8
339,TCGA-AR-A24U-01,8
340,TCGA-AR-A24V-01,8
341,TCGA-AR-A24W-01,8
342,TCGA-AR-A24X-01,8
343,TCGA-AR-A24Z-01,8
344,TCGA-AR-A250-01,8
345,TCGA-AR-A251-01,8
346,TCGA-AR-A252-01,8
347,TCGA-AR-A254-01,8
348,TCGA-AR-A255-01,8
349,TCGA-AR-A256-01,8
350,TCGA-AR-A2LE-01,8
351,TCGA-AR-A2LH-01,8
352,TCGA-AR-A2LK-01,1
353,TCGA-AR-A2LL-01,1
354,TCGA-AR-A2LM-01,8
355,TCGA-AR-A2LN-01,8
356,TCGA-AR-A2LO-01,8
357,TCGA-AR-A2LQ-01,8
358,TCGA-AR-A2LR-01,2
359,TCGA-AR-A5QM-01,8
360,TCGA-AR-A5QN-01,8
361,TCGA-AR-A5QP-01,8
362,TCGA-AR-A5QQ-01,7
363,TCGA-B6-A0I1-01,8
364,TCGA-B6-A0I2-01,8
365,TCGA-B6-A0I5-01,8
366,TCGA-B6-A0I6-01,8
367,TCGA-B6-A0I8-01,1
368,TCGA-B6-A0I9-01,1
369,TCGA-B6-A0IA-01,1
370,TCGA-B6-A0IB-01,1
371,TCGA-B6-A0IC-01,1
372,TCGA-B6-A0IE-01,8
373,TCGA-B6-A0IH-01,8
374,TCGA-B6-A0IJ-01,8
375,TCGA-B6-A0IK-01,8
376,TCGA-B6-A0IM-01,8
377,TCGA-B6-A0IN-01,8
378,TCGA-B6-A0RE-01,8
379,TCGA-B6-A0RG-01,1
380,TCGA-B6-A0RH-01,8
381,TCGA-B6-A0RI-01,8
382,TCGA-B6-A0RN-01,1
383,TCGA-B6-A0RO-01,1
384,TCGA-B6-A0RP-01,8
385,TCGA-B6-A0RQ-01,8
386,TCGA-B6-A0RT-01,8
387,TCGA-B6-A0RU-01,8
388,TCGA-B6-A0RV-01,8
389,TCGA-B6-A0WS-01,8
390,TCGA-B6-A0WT-01,8
391,TCGA-B6-A0WV-01,1
392,TCGA-B6-A0WW-01,1
393,TCGA-B6-A0WX-01,8
394,TCGA-B6-A0WY-01,8
395,TCGA-B6-A0WZ-01,1
396,TCGA-B6-A0X0-01,1
397,TCGA-B6-A0X1-01,8
398,TCGA-B6-A0X4-01,2
399,TCGA-B6-A0X5-01,1
400,TCGA-B6-A1KC-01,2
401,TCGA-B6-A1KF-01,8
402,TCGA-B6-A1KI-01,8
403,TCGA-B6-A1KN-01,8
404,TCGA-B6-A2IU-01,1
405,TCGA-B6-A401-01,8
406,TCGA-B6-A409-01,8
407,TCGA-B6-A40B-01,1
408,TCGA-B6-A40C-01,8
409,TCGA-BH-A0AU-01,1
410,TCGA-BH-A0AV-01,8
411,TCGA-BH-A0AW-01,8
412,TCGA-BH-A0AY-01,1
413,TCGA-BH-A0AZ-01,8
414,TCGA-BH-A0B0-01,8
415,TCGA-BH-A0B1-01,8
416,TCGA-BH-A0B3-01,8
417,TCGA-BH-A0B4-01,8
418,TCGA-BH-A0B5-01,8
419,TCGA-BH-A0B6-01,8
420,TCGA-BH-A0B7-01,8
421,TCGA-BH-A0B8-01,2
422,TCGA-BH-A0B9-01,8
423,TCGA-BH-A0BA-01,8
424,TCGA-BH-A0BC-01,8
425,TCGA-BH-A0BD-01,8
426,TCGA-BH-A0BF-01,8
427,TCGA-BH-A0BG-01,8
428,TCGA-BH-A0BJ-01,8
429,TCGA-BH-A0BL-01,8
430,TCGA-BH-A0BM-01,8
431,TCGA-BH-A0BO-01,8
432,TCGA-BH-A0BP-01,8
433,TCGA-BH-A0BQ-01,8
434,TCGA-BH-A0BR-01,8
435,TCGA-BH-A0BS-01,1
436,TCGA-BH-A0BT-01,1
437,TCGA-BH-A0BV-01,8
438,TCGA-BH-A0BW-01,8
439,TCGA-BH-A0BZ-01,8
440,TCGA-BH-A0C0-01,8
441,TCGA-BH-A0C1-01,8
442,TCGA-BH-A0C3-01,8
443,TCGA-BH-A0C7-01,8
444,TCGA-BH-A0DD-01,1
445,TCGA-BH-A0DE-01,8
446,TCGA-BH-A0DG-01,8
447,TCGA-BH-A0DH-01,1
448,TCGA-BH-A0DI-01,8
449,TCGA-BH-A0DK-01,8
450,TCGA-BH-A0DL-01,8
451,TCGA-BH-A0DO-01,8
452,TCGA-BH-A0DP-01,8
453,TCGA-BH-A0DQ-01,8
454,TCGA-BH-A0DS-01,8
455,TCGA-BH-A0DT-01,8
456,TCGA-BH-A0DV-01,8
457,TCGA-BH-A0DX-01,8
458,TCGA-BH-A0DZ-01,8
459,TCGA-BH-A0E0-01,8
460,TCGA-BH-A0E1-01,8
461,TCGA-BH-A0E2-01,8
462,TCGA-BH-A0E7-01,1
463,TCGA-BH-A0E9-01,8
464,TCGA-BH-A0EA-01,8
465,TCGA-BH-A0EB-01,8
466,TCGA-BH-A0EE-01,8
467,TCGA-BH-A0EI-01,8
468,TCGA-BH-A0GY-01,8
469,TCGA-BH-A0GZ-01,8
470,TCGA-BH-A0H0-01,1
471,TCGA-BH-A0H3-01,8
472,TCGA-BH-A0H5-01,8
473,TCGA-BH-A0H6-01,1
474,TCGA-BH-A0H7-01,8
475,TCGA-BH-A0H9-01,1
476,TCGA-BH-A0HA-01,8
477,TCGA-BH-A0HB-01,1
478,TCGA-BH-A0HF-01,8
479,TCGA-BH-A0HI-01,1
480,TCGA-BH-A0HK-01,8
481,TCGA-BH-A0HL-01,2
482,TCGA-BH-A0HN-01,1
483,TCGA-BH-A0HO-01,8
484,TCGA-BH-A0HP-01,8
485,TCGA-BH-A0HQ-01,1
486,TCGA-BH-A0HU-01,1
487,TCGA-BH-A0HW-01,1
488,TCGA-BH-A0HX-01,8
489,TCGA-BH-A0HY-01,1
490,TCGA-BH-A0RX-01,8
491,TCGA-BH-A0W3-01,1
492,TCGA-BH-A0W4-01,8
493,TCGA-BH-A0W5-01,8
494,TCGA-BH-A0W7-01,8
495,TCGA-BH-A0WA-01,8
496,TCGA-BH-A18F-01,8
497,TCGA-BH-A18G-01,8
498,TCGA-BH-A18H-01,8
499,TCGA-BH-A18I-01,8
500,TCGA-BH-A18J-01,8
501,TCGA-BH-A18K-01,8
502,TCGA-BH-A18L-01,1
503,TCGA-BH-A18M-01,8
504,TCGA-BH-A18N-01,1
505,TCGA-BH-A18P-01,8
506,TCGA-BH-A18Q-01,8
507,TCGA-BH-A18R-01,1
508,TCGA-BH-A18S-01,1
509,TCGA-BH-A18T-01,8
510,TCGA-BH-A18U-01,1
511,TCGA-BH-A18V-01,8
512,TCGA-BH-A1EN-01,8
513,TCGA-BH-A1EO-01,8
514,TCGA-BH-A1ES-01,8
515,TCGA-BH-A1ET-01,8
516,TCGA-BH-A1EU-01,8
517,TCGA-BH-A1EV-01,1
518,TCGA-BH-A1EW-01,8
519,TCGA-BH-A1EX-01,8
520,TCGA-BH-A1EY-01,8
521,TCGA-BH-A1F0-01,8
522,TCGA-BH-A1F2-01,8
523,TCGA-BH-A1F5-01,1
524,TCGA-BH-A1F6-01,8
525,TCGA-BH-A1F8-01,1
526,TCGA-BH-A1FC-01,8
527,TCGA-BH-A1FD-01,1
528,TCGA-BH-A1FE-01,8
529,TCGA-BH-A1FG-01,1
530,TCGA-BH-A1FH-01,8
531,TCGA-BH-A1FJ-01,1
532,TCGA-BH-A1FL-01,1
533,TCGA-BH-A1FM-01,8
534,TCGA-BH-A1FN-01,8
535,TCGA-BH-A1FR-01,2
536,TCGA-BH-A1FU-01,8
537,TCGA-BH-A201-01,8
538,TCGA-BH-A202-01,8
539,TCGA-BH-A203-01,8
540,TCGA-BH-A204-01,2
541,TCGA-BH-A208-01,8
542,TCGA-BH-A209-01,8
543,TCGA-BH-A28Q-01,8
544,TCGA-BH-A2L8-01,8
545,TCGA-BH-A42U-01,8
546,TCGA-BH-A42V-01,8
547,TCGA-BH-A5IZ-01,8
548,TCGA-BH-A5J0-01,8
549,TCGA-C8-A12K-01,8
550,TCGA-C8-A12L-01,8
551,TCGA-C8-A12M-01,1
552,TCGA-C8-A12N-01,8
553,TCGA-C8-A12O-01,8
554,TCGA-C8-A12P-01,8
555,TCGA-C8-A12Q-01,8
556,TCGA-C8-A12T-01,1
557,TCGA-C8-A12U-01,1
558,TCGA-C8-A12V-01,8
559,TCGA-C8-A12W-01,1
560,TCGA-C8-A12X-01,1
561,TCGA-C8-A12Y-01,1
562,TCGA-C8-A12Z-01,1
563,TCGA-C8-A130-01,8
564,TCGA-C8-A131-01,8
565,TCGA-C8-A132-01,8
566,TCGA-C8-A133-01,1
567,TCGA-C8-A134-01,8
568,TCGA-C8-A135-01,8
569,TCGA-C8-A137-01,1
570,TCGA-C8-A138-01,8
571,TCGA-C8-A1HE-01,1
572,TCGA-C8-A1HF-01,8
573,TCGA-C8-A1HG-01,2
574,TCGA-C8-A1HI-01,8
