ClustMethod,Drug,Group_Pair,padj_1,diff,lwr,upr,padj_2
1,lenvatinib_2.5_BRD-K39974922-001-04-3,G_6-1,5.63046199250072e-05,0.703354256927884,0.26943701863743,1.13727149521834,0.0263714752694469
1,bisacodyl_2.5_BRD-K39987650-001-24-1,G_3-2,8.16582546478983e-05,0.520404332098019,0.193556013477265,0.847252650718773,0.0340328076722796
1,AEE788_2.5_BRD-K40718343-001-02-6,G_3-2,7.80467360683712e-06,0.75653753236043,0.32775893084787,1.18531613387299,0.00572874691508422
1,AEE788_2.5_BRD-K40718343-001-02-6,G_6-3,1.83575078660514e-06,-0.832855662607918,-1.27949274697089,-0.38621857824495,0.00180560775868908
1,osimertinib_2.5_BRD-K42805893-001-04-9,G_3-2,5.19106975183092e-08,1.00124103444853,0.523861323322102,1.47862074557496,0.000104200660949099
1,osimertinib_2.5_BRD-K42805893-001-04-9,G_4-2,2.6674381669034e-05,0.799992815583532,0.322613104457102,1.27737252670996,0.014992221898302
1,MLN2480_2.5_BRD-K43410529-001-02-3,G_3-2,1.65670714802335e-06,-0.445607413825,-0.683512636574696,-0.207702191075304,0.00167990104809568
1,MLN2480_2.5_BRD-K43410529-001-02-3,G_4-3,2.79722477736222e-07,0.50980370835,0.253804562560428,0.765802854139572,0.000387506245988441
1,MLN2480_2.5_BRD-K43410529-001-02-3,G_6-3,7.45715789118862e-09,0.544015019320833,0.298914497579431,0.789115541062236,1.93018719963561e-05
1,ponatinib_2.5_BRD-K44227013-001-06-4,G_3-2,7.23756316545199e-07,-1.08275744933334,-1.64439377166524,-0.521121127001431,0.00082775841607852
1,ARRY-334543_2.5_BRD-K46386702-001-02-1,G_3-2,1.29190714903693e-07,0.656633191347326,0.334799785827611,0.978466596867041,0.000219085178215473
1,ARRY-334543_2.5_BRD-K46386702-001-02-1,G_6-3,4.84768045150297e-06,-0.600716969967499,-0.934760757222101,-0.266673182712897,0.00386404687352265
1,CGS-15943_2.5_BRD-K49049886-001-08-7,G_3-2,0.00010568842171077,0.931117874910088,0.338877451728668,1.52335829809151,0.0420862420349308
1,PD-0325901_2.5_BRD-K49865102-001-08-4,G_3-1,3.61910943214028e-07,-2.32251488478571,-3.49950195044989,-1.14552781912153,0.000481038331792505
1,alpelisib_2.5_BRD-K54997624-001-06-0,G_3-2,1.51393354660412e-05,0.616535255802585,0.257470781122225,0.975599730482944,0.00983882444874507
1,vemurafenib_2.5_BRD-K56343971-001-10-6,G_3-1,6.99286443528457e-07,-1.210594908675,-1.8379905837835,-0.583199233566498,0.000809181364853788
1,vemurafenib_2.5_BRD-K56343971-001-10-6,G_3-2,5.00299801586834e-12,-1.09570018785086,-1.51094833146787,-0.68045204423385,3.4314793140311e-08
1,vemurafenib_2.5_BRD-K56343971-001-10-6,G_4-3,8.267941886686e-12,1.1794770348425,0.727700514211307,1.63125355547369,5.08261392556664e-08
1,vemurafenib_2.5_BRD-K56343971-001-10-6,G_6-3,1.26159971358675e-10,1.06285997988958,0.630316892389439,1.49540306738973,5.90897260137931e-07
1,MK-2461_2.5_BRD-K56405753-001-02-4,G_2-1,3.38690968080257e-05,0.744994086078079,0.295707334254007,1.19428083790215,0.018007008777534
1,selumetinib_2.5_BRD-K57080016-001-15-9,G_3-1,2.78854912605375e-07,-1.84552262426464,-2.77294313995929,-0.918102108569994,0.000387506245988441
1,selumetinib_2.5_BRD-K57080016-001-15-9,G_3-2,1.98553479460184e-05,-1.04190299483681,-1.65572559957175,-0.428080390101873,0.0120551377362622
1,selumetinib_2.5_BRD-K57080016-001-15-9,G_4-3,4.2018866164284e-09,1.503793640745,0.835974542900476,2.17161273858953,1.21555636417254e-05
1,selumetinib_2.5_BRD-K57080016-001-15-9,G_6-3,6.54366993924072e-09,1.42268157210542,0.783293464751687,2.06206967945915,1.73951969698335e-05
